"Product Code","Product Name",Variant,Expected,Counted
trib,"Tribhuvan Kirti Ras",,0.0000,
ULTRA30,"Ultra Ortho30",,0.0000,
UP,"Urea Powder ",,3.0000,
UTB,"Urine Therapy",,5.0000,
UTGM,"Utroxyl GM - 30",,9.0000,
UTGT30,"Utroxyl GT-30",,7.0000,
UTS,"U-Tone Syrup",,5.0000,
vat,"vatari liniment",,8.0000,
VIRE,"Virechan ",,37.0000,
vironil,Vironil,,5.0000,
VKAM30,VKMD30,,8.0000,
VTRIPH30,"Triphala Tab -30",,0.0000,
WB,"Water Bottle ",,0.0000,
WHEAT,Wheatgrass,,8.0000,
WM,"White Medicine-6",,50.0000,
YC,"Yoga Chart",,0.0000,
YD,"Yoga dvd ",,43.0000,
ZTT,"Triaphala Tablet ",,97.0000,
