"Product Code","Product Name",Variant,Expected,Counted
MUTRAH,Swamutra-Hindi,,8.0000,
MUTRM,Swamutra-Marathi,,36.0000,
myoga,"morning yoga DVD",,20.0000,
NAG10,"Nagkeshar - 10",,0.0000,
NAG30,"Nagkeshar - 30",,19.0000,
NAIS,"Naisargik Aahar",,9.0000,
NAVSH-10,"Navshiladi Guggul -10 Tab",,0.0000,
NAVSH-30,"Navshiladi Guggul -30 Tab",,12.0000,
NEEM,"Neem Oil",,6.0000,
NEER,"Neeri Tab",,4.0000,
NET,"Nethi Pot",,98.0000,
OSTEO-10,"Osteo Joint-10 Tab ",,2.0000,
OSTEO-30,"Osteo Joint-30 Tab",,7.0000,
PAI-10,"Pailowin  -10 Tab ",,0.0000,
PAI-30,"Pailowin  -30 Tab ",,14.0000,
PAIN-10,"Paintaseed Tab -10  ",,0.0000,
PAIN-30,"Paintaseed Tab -30 ",,6.0000,
PAL-10,"Palsinuron -10 Cap",,0.0000,
PAL-30,"Palsinuron -30 Cap",,46.0000,
PAN,Paneerphool,,18.0000,
PAT,"patankar Kadha",,9.0000,
PLB,"Prithvi Lakshya Book",,2.0000,
PSORO-10,"Psoroderma -10 Tab",,0.0000,
PSORO-30,"Psoroderma -30 Tab",,16.0000,
PUNR,"Punarnavasav ",,2.0000,
RC10,"Rubber Cathetor No. 10",,10.0000,
RC3,"Rubber Cathetor No. 3",,30.0000,
SHBIG,"Shatavari ",,9.0000,
SHSM,"Shatavari small",,3.0000,
SOYC,"Soya Cofee",,8.0000,
SPC,"Shankhapushpi Churn",,1.0000,
SPIR,Spirulina,,30.0000,
SS-10,"SS - 10 Tab",,0.0000,
SS-30,"SS - 30 Tab",,63.0000,
SSM,"Shivambu Samachar",,0.0000,
STO-10,"Stonvil -10 Cap",,0.0000,
STO-30,"Stonvil -30Cap",,27.0000,
STS-10,"Sutshekhar Vati -10 Tab ",,0.0000,
STS-30,"Sutshekhar Vati -30 Tab ",,6.0000,
SUN-10,"Sunarain - 10 Cap",,0.0000,
SUN30,"Sunarain - 30",,43.0000,
SWASTH,"Shivambu Chikitsa Hindi",,145.0000,
SWASTM,"Shivambu Chikitsa Marathi",,17.0000,
TAG,Tagara,,0.0000,
TAKRA-1,"Takararishta - 1",,6.0000,
TAKRA-2,"Takrarishta - 2",,6.0000,
TC,"Triphala Churn",,0.0000,
ULTRA10,"Ultra Ortho10",,2.0000,
ULTRA30,"Ultra Ortho30",,9.0000,
UP,"Urea Powder ",,1.0000,
UP200,"Urea Powder 200gm",,0.0000,
UTB,"Urine Therapy",,7.0000,
UTGM,"Utroxyl GM - 30",,11.0000,
UTGM-10,"Utroxyl Gm - 10 ",,1.0000,
UTGT10,"Utroxyl GT-10",,0.0000,
UTGT30,"Utroxyl GT-30",,7.0000,
UTS,"U-Tone Syrup",,13.0000,
VIRE,"Virechan ",,82.0000,
VKAM10,Kamadudha10,,0.0000,
VKAM30,Kamadudha30,,8.0000,
VTRIPH10,"Triphala Tab -10",,0.0000,
VTRIPH30,"Triphala Tab -30",,1.0000,
WB,"Water Bottle ",,12.0000,
WHEAT,Wheatgrass,,30.0000,
WM,"White Medicine",,4.0000,
YC,"Yoga Chart",,14.0000,
YD,"Yoga dvd ",,47.0000,
ZTT,"Triaphala Tablet ",,89.0000,
