"Product Code","Product Name",Variant,Expected,Counted
GC,"Gulvel churn",,15.0000,
GMA,"Gomutra Ark",,2.0000,
GOU-10,"Gomutra Haritaki -10 Tab",,0.0000,
GOU-30,"Gomutra Haritaki -30 Tab",,7.0000,
HAD,Hadensa,,13.0000,
HEP-10,"Hepjaun-10 Tab",,0.0000,
HEP-200ml,"Hepjaun Syrup- 200 ML",,0.0000,
HEP-30,"Hepjaun-30 Tab",,14.0000,
HEP-300ml,"Hepjaun Syrup- 300 ML",,8.0000,
HERB,"Herbo Powder",,24.0000,
HON,Honitus,,6.0000,
JAGG,"Jaggery -Gul",,0.0000,
JAV,"Javas Seeds",,18.0000,
JJAHAR,"AAhar  Jivanjal- Hindi ",,103.0000,
JJCAN,"JJ Cancer Visheshank",,25.0000,
JJDIAB,"JJ Diabetes Visheshank ",,0.0000,
JL,"JALIM LOSHAN",,22.0000,
K-4,"K-4 Tab",,5.0000,
KB,"Kavachbeej Churn",,8.0000,
KCT-10,"KC - 10 Tab",,0.0000,
KCT-30,"KC - 30 Tab",,12.0000,
KESH,"Keshya Tel",,9.0000,
KJC,"K-Jal Churn",,14.0000,
KMD-10,"Kamdudha - 10 Tab",,0.0000,
KMD-30,"Kamdudha   - 30 Tab",,5.0000,
KOR,"Korfad Ras",,30.0000,
Korange,"Korfadras Orange",,0.0000,
KRU-10,"Krumina - 10 Tab",,0.0000,
KRU-30,"Krumina - 30 Tab",,6.0000,
KTJ-10,"Kutaj Compound - 10 Tab",,11.0000,
KTJ-30,"Kutaj Compound - 30 Tab",,5.0000,
KUTAJV-10,"Kautajadi Shilajitu  - 10 Tab",,0.0000,
KUTAJV-30,"Kautajadi Shilajitu - 30 Tab",,18.0000,
LEP,"Shwitra Lep Goli",,11.0000,
LIM-10,"Limiron - 10 Tab",,0.0000,
LIM-30,"Limiron - 30 Tab",,82.0000,
MAD,"Madhumehari Churn",,20.0000,
MAHA,"Maha Yograj Guggul Tab",,22.0000,
man,Manocol,,0.0000,
MAR-10,"Marvin - 10 Cap",,0.0000,
MAR-30,"Marvin - 30 Cap",,30.0000,
MCLH,"Mutra Chikitsa Labh HIndi",,9.0000,
mcool,Manocool,,0.0000,
MEB-10,"Mebarid - 10 Cap",,0.0000,
MEB-30,"Mebarid - 30 Cap",,21.0000,
MEC-10,"Me-Cal 10 Tab",,0.0000,
MEC-30,"Me-Cal 30 Tab",,9.0000,
METH,"Methi Seed",,9.0000,
MG,"Madhumehari Granuals",,3.0000,
MK,"Maharasnadi Kadha",,9.0000,
MO,"Massage Oil",,21.0000,
Moo,"Moov ",,0.0000,
MTON,"M-2 Tone Tab",,4.0000,
MTOS,"M-2-Tone Syrup",,4.0000,
MULN,Mulnakshtri,,0.0000,
MUS,Musali,,8.0000,
MUTRAH,Swamutra-Hindi,,23.0000,
MUTRM,Swamutra-Marathi,,30.0000,
myoga,"morning yoga DVD",,43.0000,
NAG10,"Nagkeshar - 10",,0.0000,
NAG30,"Nagkeshar - 30",,18.0000,
NAIS,"Naisargik Aahar",,61.0000,
NAVSH-10,"Navshiladi Guggul -10 Tab",,0.0000,
NAVSH-30,"Navshiladi Guggul -30 Tab",,15.0000,
NEEM,"Neem Oil",,4.0000,
NEER,"Neeri Tab",,2.0000,
NET,"Nethi Pot",,32.0000,
OSTEO-10,"Osteo Joint-10 Tab ",,0.0000,
OSTEO-30,"Osteo Joint-30 Tab",,5.0000,
PAI-10,"Pailowin  -10 Tab ",,0.0000,
PAI-30,"Pailowin  -30 Tab ",,15.0000,
PAIN-10,"Paintaseed Tab -10  ",,0.0000,
