"Product Code","Product Name",Variant,Expected,Counted
KUTAJV-30,"Kautajadi Shilajitu - 30 Tab",,17.0000,
LEP,"Shwitra Lep Goli",,13.0000,
LIM-10,"Limiron - 10 Tab",,0.0000,
LIM-30,"Limiron - 30 Tab",,104.0000,
MAD,"Madhumehari Churn",,18.0000,
MAHA,"Maha Yograj Guggul Tab",,12.0000,
MAR-10,"Marvin - 10 Cap",,0.0000,
MAR-30,"Marvin - 30 Cap",,31.0000,
MCLH,"Mutra Chikitsa Labh HIndi",,9.0000,
MEB-10,"Mebarid - 10 Cap",,0.0000,
MEB-30,"Mebarid - 30 Cap",,40.0000,
MEC-10,"Me-Cal 10 Tab",,0.0000,
MEC-30,"Me-Cal 30 Tab",,76.0000,
METH,"Methi Seed",,7.0000,
MG,"Madhumehari Granuals",,6.0000,
MK,"Maharasnadi Kadha",,5.0000,
MTON,"M-2 Tone Tab",,9.0000,
MTOS,"M-2-Tone Syrup",,5.0000,
MULN,Mulnakshtri,,3.0000,
MUS,Musali,,15.0000,
MUTRAH,Swamutra-Hindi,,13.0000,
MUTRM,Swamutra-Marathi,,25.0000,
NAG10,"Nagkeshar - 10",,0.0000,
NAG30,"Nagkeshar - 30",,20.0000,
NAIS,"Naisargik Aahar",,22.0000,
NAVSH-10,"Navshiladi Guggul -10 Tab",,0.0000,
NAVSH-30,"Navshiladi Guggul -30 Tab",,15.0000,
NEEM,"Neem Oil",,4.0000,
NEER,"Neeri Tab",,6.0000,
NET,"Nethi Pot",,99.0000,
OSTEO-10,"Osteo Joint-10 Tab ",,0.0000,
OSTEO-30,"Osteo Joint-30 Tab",,15.0000,
PAI-10,"Pailowin  -10 Tab ",,0.0000,
PAI-30,"Pailowin  -30 Tab ",,20.0000,
PAIN-10,"Paintaseed Tab -10  ",,0.0000,
PAIN-30,"Paintaseed Tab -30 ",,7.0000,
PAL-10,"Palsinuron -10 Cap",,0.0000,
PAL-30,"Palsinuron -30 Cap",,53.0000,
PAN,Paneerphool,,14.0000,
PAT,"patankar Kadha",,106.0000,
PLB,"Prithvi Lakshya Book",,2.0000,
PSORO-10,"Psoroderma -10 Tab",,0.0000,
PSORO-30,"Psoroderma -30 Tab",,16.0000,
PUNR,"Punarnavasav ",,4.0000,
RC10,"Rubber Cathetor No. 10",,20.0000,
RC3,"Rubber Cathetor No. 3",,60.0000,
SHBIG,"Shatavari ",,14.0000,
SHSM,"Shatavari small",,3.0000,
SOYC,"Soya Cofee",,71.0000,
SPC,"Shankhapushpi Churn",,2.0000,
SPIR,Spirulina,,119.0000,
SS-10,"SS - 10 Tab",,0.0000,
SS-30,"SS - 30 Tab",,70.0000,
SSM,"Shivambu Samachar",,0.0000,
STO-10,"Stonvil -10 Cap",,0.0000,
STO-30,"Stonvil -30Cap",,44.0000,
STS-10,"Sutshekhar Vati -10 Tab ",,0.0000,
STS-30,"Sutshekhar Vati -30 Tab ",,20.0000,
SUN-10,"Sunarain - 10 Cap",,0.0000,
SUN30,"Sunarain - 30",,63.0000,
SWASTH,"Shivambu Chikitsa Hindi",,136.0000,
SWASTM,"Shivambu Chikitsa Marathi",,49.0000,
TAG,Tagara,,7.0000,
TAKRA-1,"Takararishta - 1",,6.0000,
TAKRA-2,"Takrarishta - 2",,6.0000,
TC,"Triphala Churn",,25.0000,
TIL,"Til Tel",,22.0000,
ULTRA10,"Ultra Ortho10",,0.0000,
ULTRA30,"Ultra Ortho30",,14.0000,
UP,"Urea Powder ",,1.0000,
UTB,"Urine Therapy",,10.0000,
UTGM,"Utroxyl GM - 30",,15.0000,
UTGM-10,"Utroxyl Gm - 10 ",,1.0000,
UTGT10,"Utroxyl GT-10",,0.0000,
UTGT30,"Utroxyl GT-30",,14.0000,
UTS,"U-Tone Syrup",,8.0000,
VIRE,"Virechan ",,81.0000,
VKAM10,Kamadudha10,,0.0000,
VKAM30,Kamadudha30,,8.0000,
VTRIPH10,"Triphala Tab -10",,0.0000,
VTRIPH30,"Triphala Tab -30",,25.0000,
WHEAT,Wheatgrass,,21.0000,
YC,"Yoga Chart",,14.0000,
YD,"Yoga dvd ",,6.0000,
