"Product Code","Product Name",Variant,Expected,Counted
HEP-200ml,"Hepjaun Syrup- 200 ML",,0.0000,
HEP-30,"Hepjaun-30 Tab",,10.0000,
HEP-300ml,"Hepjaun Syrup- 300 ML",,7.0000,
HERB,"Herbo Powder",,150.0000,
HON,Honitus,,5.0000,
JAGG,"Jaggery -Gul",,0.0000,
JAV,"Javas Seeds",,49.0000,
JJAHAR,"AAhar  Jivanjal- Hindi ",,101.0000,
JJCAN,"JJ Cancer Visheshank",,21.0000,
JJDIAB,"JJ Diabetes Visheshank ",,0.0000,
JL,"JALIM LOSHAN",,4.0000,
K-4,"K-4 Tab",,5.0000,
KB,"Kavachbeej Churn",,2.0000,
KCT-10,"KC - 10 Tab",,0.0000,
KCT-30,"KC - 30 Tab",,17.0000,
KESH,"Keshya Tel",,6.0000,
KJC,"K-Jal Churn",,28.0000,
KMD-10,"Kamdudha - 10 Tab",,0.0000,
KMD-30,"Kamdudha   - 30 Tab",,8.0000,
KOR,"Korfad Ras",,43.0000,
Korange,"Korfadras Orange",,0.0000,
KRU-10,"Krumina - 10 Tab",,0.0000,
KRU-30,"Krumina - 30 Tab",,4.0000,
KTJ-10,"Kutaj Compound - 10 Tab",,9.0000,
KTJ-30,"Kutaj Compound - 30 Tab",,4.0000,
KUTAJV-10,"Kautajadi Shilajitu  - 10 Tab",,0.0000,
KUTAJV-30,"Kautajadi Shilajitu - 30 Tab",,16.0000,
LEP,"Shwitra Lep Goli",,9.0000,
LIM-10,"Limiron - 10 Tab",,0.0000,
LIM-30,"Limiron - 30 Tab",,78.0000,
lith,Lithoflow,,0.0000,
MAD,"Madhumehari Churn",,4.0000,
MAHA,"Maha Yograj Guggul Tab",,22.0000,
MAR-10,"Marvin - 10 Cap",,0.0000,
MAR-30,"Marvin - 30 Cap",,30.0000,
MCLH,"Mutra Chikitsa Labh HIndi",,19.0000,
mcool,Manocool,,4.0000,
MEB-10,"Mebarid - 10 Cap",,0.0000,
MEB-30,"Mebarid - 30 Cap",,30.0000,
MEC-10,"Me-Cal 10 Tab",,0.0000,
MEC-30,"Me-Cal 30 Tab",,2.0000,
METH,"Methi Seed",,59.0000,
MG,"Madhumehari Granuals",,3.0000,
MK,"Maharasnadi Kadha",,4.0000,
MO,"Massage Oil",,31.0000,
Moo,"Moov ",,0.0000,
MTON,"M-2 Tone Tab",,1.0000,
MTOS,"M-2-Tone Syrup",,4.0000,
MULN,Mulnakshtri,,0.0000,
MUS,Musali,,5.0000,
MUTRAH,Swamutra-Hindi,,21.0000,
MUTRM,Swamutra-Marathi,,8.0000,
myoga,"morning yoga DVD",,43.0000,
NAG10,"Nagkeshar - 10",,0.0000,
NAG30,"Nagkeshar - 30",,18.0000,
NAIS,"Naisargik Aahar",,45.0000,
NAVSH-10,"Navshiladi Guggul -10 Tab",,0.0000,
NAVSH-30,"Navshiladi Guggul -30 Tab",,15.0000,
NEEM,"Neem Oil",,3.0000,
NEER,"Neeri Tab",,8.0000,
NET,"Nethi Pot",,972.0000,
OR,ORS,,0.0000,
OSTEO-10,"Osteo Joint-10 Tab ",,0.0000,
OSTEO-30,"Osteo Joint-30 Tab",,2.0000,
PAI-10,"Pailowin  -10 Tab ",,0.0000,
PAI-30,"Pailowin  -30 Tab ",,10.0000,
PAIN-10,"Paintaseed Tab -10  ",,0.0000,
PAIN-30,"Paintaseed Tab -30 ",,7.0000,
PAL-10,"Palsinuron -10 Cap",,0.0000,
PAL-30,"Palsinuron -30 Cap",,30.0000,
PAN,Paneerphool,,3.0000,
PAT,"patankar Kadha",,37.0000,
PLB,"Prithvi Lakshya Book",,3.0000,
PSORO-10,"Psoroderma -10 Tab",,0.0000,
PSORO-30,"Psoroderma -30 Tab",,16.0000,
PUNR,"Punarnavasav ",,4.0000,
RC10,"Rubber Cathetor No. 10",,5.0000,
RC3,"Rubber Cathetor No. 3",,30.0000,
SHBIG,"Shatavari ",,9.0000,
SHSM,"Shatavari small",,3.0000,
shunya,"DVD_Shunya Budget Aarogya",,29.0000,
SOYC,"Soya Cofee",,8.0000,
SPC,"Shankhapushpi Churn",,0.0000,
SPIR,Spirulina,,15.0000,
SS-10,"SS - 10 Tab",,0.0000,
SS-30,"SS - 30 Tab",,97.0000,
STO-10,"Stonvil -10 Cap",,0.0000,
STO-30,"Stonvil -30Cap",,42.0000,
STS-10,"Sutshekhar Vati -10 Tab ",,0.0000,
STS-30,"Sutshekhar Vati -30 Tab ",,30.0000,
sud,"Sudarshan Ghanavti",,3.0000,
suk,sukeshini,,2.0000,
sulp,"ST Sulphet",,4.0000,
SUN-10,"Sunarain - 10 Cap",,0.0000,
SUN30,"Sunarain - 30",,34.0000,
suvrn,"suvarnyukt STS ",,15.0000,
SWASTH,"Shivambu Chikitsa Hindi",,189.0000,
SWASTM,"Shivambu Chikitsa Marathi",,175.0000,
TAG,Tagara,,0.0000,
TAKRA-1,"Takararishta - 1",,6.0000,
TAKRA-2,"Takrarishta - 2",,6.0000,
TB,"Tejgyan Books",,6.0000,
TC,"Triphala Churn",,0.0000,
trib,"Tribhuvan Kirti Ras",,2.0000,
ULTRA10,"Ultra Ortho10",,0.0000,
ULTRA30,"Ultra Ortho30",,0.0000,
UP,"Urea Powder ",,3.0000,
URP,"Urea Powder ",,4.0000,
UTB,"Urine Therapy",,15.0000,
UTGM,"Utroxyl GM - 30",,10.0000,
UTGM-10,"Utroxyl Gm - 10 ",,0.0000,
UTGT10,"Utroxyl GT-10",,0.0000,
UTGT30,"Utroxyl GT-30",,8.0000,
UTS,"U-Tone Syrup",,5.0000,
VIRE,"Virechan ",,20.0000,
VKAM10,Kamadudha10,,0.0000,
VKAM30,Kamadudha30,,7.0000,
VTRIPH10,"Triphala Tab -10",,0.0000,
VTRIPH30,"Triphala Tab -30",,0.0000,
WB,"Water Bottle ",,0.0000,
WHEAT,Wheatgrass,,96.0000,
WM,"White Medicine-6",,8.0000,
YC,"Yoga Chart",,0.0000,
YD,"Yoga dvd ",,45.0000,
ZTT,"Triaphala Tablet ",,151.0000,
